Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
UNITYBNK,Unity Bank PLC,1.51,NGN,0,0,,17650900103,NGN,,,,,0,Finance,No rating
UHOMREIT,UH Real Estate Investment Trust,69.3,NGN,0.07220216606497784,531010,2.096027018108385,17313869446,NGN,,,,,7.29241877256318,Finance,No rating
ROYALEX,Royal Exchange PLC,2.01,NGN,0.49999999999998934,232181,0.03259374022072681,16946733004.000002,NGN,13.562753036437245,0.1482,NGN,901.3513513513512,0,Finance,No rating
RTBRISCOE,RT Briscoe Plc,14,NGN,-1.2693935119887145,886938,0.1479557557677919,15704365512,NGN,5.7035769575490916,2.4546,NGN,330.1787592008412,0,Retail trade,No rating
MORISON,Morison Industries PLC,12.07,NGN,0,50518,0.3340918815500837,15159919617,NGN,,,,,0,Health technology,No rating
NNFM,Northern Nigeria Flour Mills Plc,79.4,NGN,0,88950,0.2850824479592327,14149080030,NGN,,-13.4671,NGN,-158.69551952580196,0.944584382871536,Process industries,No rating
MEYER,Meyer PLC,20.7,NGN,-9.803921568627452,533428,1.9276235932501302,12191906353,NGN,18.325070821529746,1.1296,NGN,59.63821368004522,1.30718954248366,Process industries,No rating
MULTIVERSE,Multiverse Mining & Exploration PLC,25.2,NGN,-10.000000000000002,647042,4.673484069293054,11933428589,NGN,472.79549718574106,0.0533,NGN,-94.38296975445252,0.357142857142857,Non-energy minerals,No rating
NSLTECH,Secure Electronic Technology Plc,1.62,NGN,-9.999999999999996,13633556,0.3931424643616385,11263080078,NGN,,-0.0339,NGN,-80.31914893617021,0,Consumer services,No rating
MCNICHOLS,McNichols Plc,8.9,NGN,7.4879227053140225,675861,0.12423901509963381,10274468000,NGN,,,,,0.434782608695652,Process industries,No rating
CHELLARAM,Chellarams PLC,13.2,NGN,0,58661,1.2865354712354786,9542609701,NGN,,-2.0114,NGN,-810.1357466063348,0,Producer manufacturing,No rating
OMATEK,Omatek Ventures PLC,2.9,NGN,-1.6949152542372972,992458,0.07670954217197239,9531398173,NGN,,,,,0,Electronic technology,No rating
DEAPCAP,DEAP Capital Management & Trust Plc,7.62,NGN,9.956709956709963,2059552,0.08507167933108079,9450000286,NGN,,-0.012,NGN,15.492957746478877,0,Finance,No rating
SFSREIT,SFS Real Estate Investment Trust,418.75,NGN,0,35454,3.7345945604314577,8375000000,NGN,,,,,5.13432835820895,Finance,No rating
LEARNAFRCA,Learn Africa PLC,9.4,NGN,0,27136,0.03575373769911206,8158083189,NGN,11.58777120315582,0.8112,NGN,1.6413983210124043,3.72340425531915,Consumer services,No rating
ACADEMY,Academy Press PLC,8.35,NGN,0,349353,0.6619102754080135,7575120448,NGN,8.423282558256835,0.9913,NGN,63.39212131201582,1.24754491017964,Consumer services,No rating
GOLDBREW,Golden Guinea Breweries Plc,7.1,NGN,0,0,,7123714000,NGN,,,,,0,Consumer non-durables,No rating
FTGINSURE,Fortis Global Insurance Plc,0.55,NGN,10.000000000000009,1111000,0.30949546862140775,6455515137,NGN,,-0.1307,NGN,-32.96032553407936,0,Finance,No rating
TRIPPLEG,Tripple Gee & Company Plc.,5.4,NGN,-9.999999999999993,637949,1.547904811287312,5939448120,NGN,,-0.8499,NGN,-10.262065386611306,0,Commercial services,No rating
AUSTINLAZ,Austin Laz & Co. Plc,4.79,NGN,4.357298474945537,175591,0.05220508982307425,5280515184,NGN,,-0.015,NGN,-484.61538461538464,0,Consumer durables,No rating
UNIONDICON,Union Dicon Salt Plc,18.4,NGN,0,179121,0.1236278213223534,5029433367,NGN,,-0.1336,NGN,78.50362027353178,0,Consumer non-durables,No rating
